productId,productName,productBrand,price,description
10000911,Kenneth Cole Women Navy Blue Solid Backpack,Kenneth Cole,2463,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No
10000245,Parx Men Green Printed Polo Collar T-shirt,Parx,629,"Green printed T-shirt, has a polo collar, and short sleeves"
10001989,Police Men To Be The King Eau De Toilette 125 ml,Police,2695,To Be The King Eau De Toilette 
10016727,Vishudh Women Maroon Printed Kurta with Palazzos,Vishudh,892,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure"
10017749,Parx Men Red Slim Fit Checked Casual Shirt,Parx,752,"Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
1000795,Being Human Clothing Navy Printed Casual Slim Shirt,Being Human,1079,"Navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem"
10003803,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,1620,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
10012765,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table mats Shape: Rectangle Colour: Mustard and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
10014413,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,YAK YAK,599,"Camel brown solid T-shirt, has polo collar, short sleeves"
10013483,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,PARFAIT,1749,Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10001265,Michael Kors Women Sexy Amber Eau de Parfum 100ml,Michael Kors,7920,Michael Kors Sexy Amber Eau de ParfumFragrance Notes:Top notes - amberHeart notes - sandalwoodBase - white flowers
10004155,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,HIGHLANDER,699,"Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10012795,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton
10009723,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,1199,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
10012853,JEWEL JUNCTION Gold-Toned Square Cufflinks,JEWEL JUNCTION,539,A pair of gold-toned square solid cufflinks
10006001,ID Men Tan Brown Fisherman Leather Sandals,ID,2385,A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
10017377,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,1199,Set content: 1 King bedsheet with 2 pillow coversQuality: Fine Thread count: 210Colour: MulticolouredPattern: Geometric
10015839,Raymond Men Blue Slim Fit Printed Formal Shirt,Raymond,1079,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
10003123,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,Gini and Jony,699,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
10012767,SEJ by Nisha Gupta Set of 6 Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table mats Shape: Rectangle Colour: Pink and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
10013041,Sera Women Blue Printed Kurta with Palazzos,Sera,1437,"Blue printed kurta with palazzos Blue A-line calf length kurta, has a round neck, short sleeves, flared hem Blue solid palazzos, button closure"
10014831,AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,AccessHer,979,"Gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedSecured with a fish-hook ear wire"
10017831,Parx Men Blue Slim Fit Printed Casual Shirt,Parx,779,"Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10002713,Alcis Women Yellow & Blue Colorblocked Tights,Alcis,749,"Alcis Women  Yellow & Blue Colorblocked Tights, three-fouth length, elasticated waist"
10006029,ID Men Brown Leather Formal Slip-Ons,ID,956,"A pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upper, has a textured detailCushioned footbedTextured TPR outsoleWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
10005903,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,Difference of Opinion,499,"Navy Blue Solid T-shirt, has a round neck, long sleeves, has side stripes in the sleeves"
10017781,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,769,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket"
10002151,Michael Kors Extreme Blue For Men Edt 70 ml,Michael Kors,4275,"What it is:Extreme Blue For Men EdWhat it does:Masculine and sensuous at the same time is this 'Blue Eau De Toilette' from Michael Kors. Exuding unmatched freshness, this EDT is a must-have in your collection of fragrances. Available in a 70 ml pack, this EDT has top notes of bergamot, spicy pink pepper and invigorating cardamom. The heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli."
10015989,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,Tokyo Talkies,499,"Off-White and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem"
10001111,ANNA SUI Women La Vie De Boheme EDT 75ml,ANNA SUI,4600,"ANNA SUI La Vie De Boheme Eau De ToiletteStrong perfumeLasts 2 to 3 hoursFresh FragranceTop notes: Turkish rose, sparkling pear, berries and pitahaya accordHeart notes: Red magnolia, peony, pink freesiaBase notes: dry woods, sandalwood, musk and black vanillaIt comes in a 75 ml bottle."
10004151,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,HIGHLANDER,699,"Navy Blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10007705,her by invictus Women Brown Solid Cushioned Mules,her by invictus,1044,"A pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
10006041,ID Men Beige Leather Derbys,ID,2685,"A pair of round-toe beige derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
10009621,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,SPYKAR,1124,"Blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops"
10009681,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,SPYKAR,989,"Blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
10017569,Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,Soie,750,Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
10001251,Lara Karen Women Black Solid Maxi Satin Skirt,Lara Karen,1999,"Black solid woven maxi skirt, has a slip-on closure, flared hem"
10003199,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,Gini and Jony,1619,"Yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem"
10017405,Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,1199,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Off-White and bluePattern: Geometric
10013687,PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801,PARFAIT,1189,Blue solid medium-coverage plunge bra with lace detailLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10015163,Urban Dog Men Grey Solid Regular Fit Sports Shorts,Urban Dog,399,"Grey solid mid-rise sports shorts, has two pockets, a drawstring closure"
1000710,ahilya Sterling Silver Textured Bangle,ahilya,9756,"Sterling silver textured bangle, has animal-shaped detail on the endsNote: This jewellery is handcrafted, therefore there might be slight variations from the image."
10013541,PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,PARFAIT,1609,Blue solid medium-coverage T-shirt braLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10002833,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,VASTRAMAY,1469,"Navy Blue and maroon solid kurta with dhoti pantsNavy Blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemGold-toned solid dhoti pants, slip-on closureMaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket"
10005915,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,Difference of Opinion,499,"Grey printed T-shirt, has round neck, long sleeves"
10002707,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,Campus Sutra,479,"White and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10012433,FIDO DIDO Men White Printed Round Neck T-shirt,FIDO DIDO,449,"White and black printed T-shirt,has round neck,short sleeves"
10012699,MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls,MIAH Decor,1469,Type: BowlsPattern: PrintedFinish: Matte Material: Ceramic
10012851,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,JEWEL JUNCTION,539,A pair of gold-toned and blue geometric printed cufflinksComes in a signature JEWEL JUNCTION case
10016755,Vishudh Women Off-White & Green Floral Print A-Line Dress,Vishudh,1299,"Off-White and green printed woven A-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem"
10015159,Urban Dog Men Grey Printed Regular Fit Sports Shorts,Urban Dog,399,"Grey printed mid-rise sports shorts, has two pockets, a drawstring closure"
10013655,PARFAIT Plus Size Women Navy Blue  White Solid Low-Rise Bikini Brief PP303,PARFAIT,499,"Navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset"
10012821,SEJ by Nisha Gupta Set of 6 Yellow & Blue Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table mats Shape: Rectangle Colour: Yellow and bluePattern: Printed Suitable For: 6 seater table Material: Cotton 
10006073,ID Men Brown Leather Loafers,ID,1218,"A pair of square toe brown loafers, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
10013491,PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391,PARFAIT,1609,Red solid medium-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
10009773,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,SPYKAR,1214,"Blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops"
10009643,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,899,"Blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
10015831,Raymond Men Blue Regular Fit Self Design Formal Shirt,Raymond,1154,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
10014675,BuckleUp Women Multicoloured Printed Belt,BuckleUp,449,Multicoloured printed beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
10012761,Peter England Men Black Briefs PIWBK9146012,Peter England,266,"A pair of black briefs, has an elasticated waistband and a panelled front with a double-layered contoured pouch"
10001887,AIGNER Men Platinum Eau De Toilette Perfume 100 ml,AIGNER,3640,"NotesTop notes: Mandarin, bergamot, ozonic, orange, tamarind, cardamom, black pepper, clove tones and crisp mint leavesHeart notes: Spicy woody notesBase notes: Crystal amber, vanilla guaiacwood, olibanum, patchouli, sandalwood, moos"
10003179,Gini and Jony Girls Blue Solid Jacket,Gini and Jony,1189,"Blue solid jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem"
10003821,Homesake Gold-Toned Solid Handcrafted Table Lamp with Shade,Homesake,1836,Type: Handcrafted Table Lamp with ShadeColour: Gold-TonedPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumSwitch Type: Toggle Button
10017017,Campus Sutra Men Black Solid Round Neck Faux Leather T-shirt,Campus Sutra,699,"Black solid T-shirt, has a round neck, and long sleeves with faux leather detail"
10012721,MIAH Decor Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with Lids,MIAH Decor,3116,Type:  Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with LidsPattern: PrintedFinish: GlossyMaterial: Ceramic
10003341,Gini and Jony Girls Peach-Coloured Floral Embroidered Fit & Flare Dress,Gini and Jony,1484,"Peach-Coloured net embroidered woven fit and flare dress with embellished detail, has a round neck, short sleeves, concealed zip closure, tie-up on the back, attached lining and flared hem"
10013417,SEJ by Nisha Gupta Blue & Green Printed Wooden Open Dry Bin,SEJ by Nisha Gupta,999,Set content: 1 open dry binColour: Blue and greenPattern: Floral printShape: Rectangular
10017923,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,859,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10013665,PARFAIT Plus Size Black Lace Non-Wired Non Padded Everyday Bra P5482,PARFAIT,1679,Black lace full-coverage everyday braNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Side Bone
10017595,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,939,"Blue checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket"
10000805,Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-WHT-BLK,Lady Lyka,425,Black and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10012769,SEJ by Nisha Gupta Set of 4 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,799,Set content: 4 table matsShape: RectangleColour:multicolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
10007835,her by invictus Women Red Cushioned Loafers,her by invictus,1299,"A pair of round closed toe red loafers with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
10012881,JEWEL JUNCTION Gold-Toned & Black Round Cufflinks,JEWEL JUNCTION,539,A pair of gold-toned and black round solid cufflinks
10013617,PARFAIT Plus Size Black Solid Non-Wired Non Padded Sports Bra P5542,PARFAIT,1749,Black solid full-coverage Sports bra with mesh detailNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10007811,her by invictus Women Tan Brown Cushioned Slip-on Shoes,her by invictus,949,"A pair of pointed closed toe tan brown slip-on shoes with cushioned footbed and comfortable lining, has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
10017427,DKNY Unisex Black Medium Trolley Bag,DKNY,13320,"Black solid medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
10017899,Parx Men Yellow & Off-White Slim Fit Checked Casual Shirt,Parx,647,"Yellow and off-white checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10017369,Story@home Mauve & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,1799,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Mauve and GreyPattern: Geometric
10017671,Parx Men Blue & Off-White Slim Fit Printed Casual Shirt,Parx,779,"Blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10007595,her by invictus Women Green Cushioned Slip-Ons,her by invictus,1999,"A pair of pointed toe green slip-ons with cushioned footbed, has regular styling, slip-on detailSynthetic Suede upperFoam cushioned footbedTextured and patterned outsole"
10004343,Park Avenue Women Blue Skinny Fit Mid-Rise Clean Look Jeans,Park Avenue,569,"Blue dark wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops"
10007683,Roadster Women Black Textured Open Toe Flats,Roadster,1699,"A pair of black open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
10007801,her by invictus Women Black Textured Cushioned Flats,her by invictus,944,"A pair of black pointed toe cushioned flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole"
10002181,U.S. Polo Assn. Denim Co. Men Navy Blue Solid Bomber Jacket,U.S. Polo Assn. Denim Co.,3499,"Navy solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 3 inner pockets"
10012783,SEJ by Nisha Gupta Set of 6 Pink Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table mats Shape: Rectangle Colour: Pink and multicoloured Pattern: Printed Suitable For: 6 seater table Material: Cotton 
10003387,Gini and Jony Girls Navy Blue Washed Denim Jacket,Gini and Jony,1329,"Navy Blue washed denim jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem, and unlined"
10004053,Sweet Dreams Men Navy Blue Solid Straight-Fit Trackpants,Sweet Dreams,699,"Navy blue solid straight-fit trackpant, has an elasticated waistband with a drawstring fastening, two pockets"
10017211,Kazo Women Yellow Floral Print Shirt Dress,Kazo,1345,"Yellow printed woven shirt dress, has a mandarin collar, long sleeves, button closure,, tulip hem"
